strike,type,mid,spot,T,IV
500.0,call,183.84,683.6300048828125,0.01643835616438356,
585.0,call,98.93,683.6300048828125,0.01643835616438356,0.5050857951293901
590.0,call,93.94,683.6300048828125,0.01643835616438356,0.48498287873450685
610.0,call,73.975,683.6300048828125,0.01643835616438356,0.39829054067929826
620.0,call,64.0,683.6300048828125,0.01643835616438356,0.3553652703400754
625.0,call,59.0,683.6300048828125,0.01643835616438356,0.32960463560497333
640.0,call,44.06,683.6300048828125,0.01643835616438356,0.26542114209389117
650.0,call,34.16,683.6300048828125,0.01643835616438356,0.226778126280736
652.0,call,32.19,683.6300048828125,0.01643835616438356,0.21924398382500437
655.0,call,29.265,683.6300048828125,0.01643835616438356,0.21022876689156042
656.0,call,28.28,683.6300048828125,0.01643835616438356,0.20579761219984158
660.0,call,24.450000000000003,683.6300048828125,0.01643835616438356,0.19612718216313788
661.0,call,23.5,683.6300048828125,0.01643835616438356,0.19349917575702336
662.0,call,22.555,683.6300048828125,0.01643835616438356,0.19089772513576125
664.0,call,20.665,683.6300048828125,0.01643835616438356,0.1846976557835065
665.0,call,19.72,683.6300048828125,0.01643835616438356,0.1811390124297966
666.0,call,18.78,683.6300048828125,0.01643835616438356,0.1775788372788988
667.0,call,17.924999999999997,683.6300048828125,0.01643835616438356,0.17825388727810507
668.0,call,16.98,683.6300048828125,0.01643835616438356,0.17364731936626474
669.0,call,16.105,683.6300048828125,0.01643835616438356,0.1721434162098522
670.0,call,15.274999999999999,683.6300048828125,0.01643835616438356,0.1720842092625066
671.0,call,14.4,683.6300048828125,0.01643835616438356,0.16939484514199268
672.0,call,13.59,683.6300048828125,0.01643835616438356,0.1688367142087138
673.0,call,12.765,683.6300048828125,0.01643835616438356,0.16700772028629007
674.0,call,11.91,683.6300048828125,0.01643835616438356,0.16348580864631274
675.0,call,11.14,683.6300048828125,0.01643835616438356,0.1624641684423839
676.0,call,10.344999999999999,683.6300048828125,0.01643835616438356,0.15989721499010448
677.0,call,9.59,683.6300048828125,0.01643835616438356,0.15802071827962386
678.0,call,8.844999999999999,683.6300048828125,0.01643835616438356,0.15577477969337128
679.0,call,8.14,683.6300048828125,0.01643835616438356,0.15406450770702887
680.0,call,7.4399999999999995,683.6300048828125,0.01643835616438356,0.15175737606685602
681.0,call,6.79,683.6300048828125,0.01643835616438356,0.15016700102082492
682.0,call,6.165,683.6300048828125,0.01643835616438356,0.1484923457042626
683.0,call,5.55,683.6300048828125,0.01643835616438356,0.14627010066823795
684.0,call,4.975,683.6300048828125,0.01643835616438356,0.14432918095589456
685.0,call,4.43,683.6300048828125,0.01643835616438356,0.14234480799459104
686.0,call,3.915,683.6300048828125,0.01643835616438356,0.14028370211620456
687.0,call,3.4400000000000004,683.6300048828125,0.01643835616438356,0.13840838593648497
688.0,call,3.0,683.6300048828125,0.01643835616438356,0.13655713295448588
689.0,call,2.5949999999999998,683.6300048828125,0.01643835616438356,0.13471867621921763
690.0,call,2.2300000000000004,683.6300048828125,0.01643835616438356,0.13305311632820802
691.0,call,1.895,683.6300048828125,0.01643835616438356,0.1312493333438757
692.0,call,1.5950000000000002,683.6300048828125,0.01643835616438356,0.12948475258583694
693.0,call,1.33,683.6300048828125,0.01643835616438356,0.12780020592621655
694.0,call,1.1,683.6300048828125,0.01643835616438356,0.1262662534056975
695.0,call,0.895,683.6300048828125,0.01643835616438356,0.12452554513155666
696.0,call,0.725,683.6300048828125,0.01643835616438356,0.12312795996249835
697.0,call,0.575,683.6300048828125,0.01643835616438356,0.12143070242198149
698.0,call,0.455,683.6300048828125,0.01643835616438356,0.12013413015008238
699.0,call,0.355,683.6300048828125,0.01643835616438356,0.11882240987980767
700.0,call,0.275,683.6300048828125,0.01643835616438356,0.11769947827197917
701.0,call,0.20500000000000002,683.6300048828125,0.01643835616438356,0.11600759928762361
702.0,call,0.155,683.6300048828125,0.01643835616438356,0.11502957444309571
703.0,call,0.11499999999999999,683.6300048828125,0.01643835616438356,0.11396589993086606
704.0,call,0.095,683.6300048828125,0.01643835616438356,0.1151369152271305
705.0,call,0.07500000000000001,683.6300048828125,0.01643835616438356,0.11551525929220381
706.0,call,0.055,683.6300048828125,0.01643835616438356,0.11476226531676058
707.0,call,0.045,683.6300048828125,0.01643835616438356,0.11589130146962974
708.0,call,0.035,683.6300048828125,0.01643835616438356,0.11626789624442606
709.0,call,0.035,683.6300048828125,0.01643835616438356,0.12037755010835759
710.0,call,0.025,683.6300048828125,0.01643835616438356,0.11948003808215525
711.0,call,0.025,683.6300048828125,0.01643835616438356,0.12341665809002476
712.0,call,0.025,683.6300048828125,0.01643835616438356,0.12733385995146868
713.0,call,0.025,683.6300048828125,0.01643835616438356,0.13123229380238371
714.0,call,0.025,683.6300048828125,0.01643835616438356,0.13511256139558164
715.0,call,0.015,683.6300048828125,0.01643835616438356,0.13140729846857974
720.0,call,0.015,683.6300048828125,0.01643835616438356,0.14963755376811042
725.0,call,0.015,683.6300048828125,0.01643835616438356,0.16752442694445616
730.0,call,0.015,683.6300048828125,0.01643835616438356,0.18510360059237668
740.0,call,0.015,683.6300048828125,0.01643835616438356,0.21944365078372077
750.0,call,0.015,683.6300048828125,0.01643835616438356,0.2528205213198161
755.0,call,0.015,683.6300048828125,0.01643835616438356,0.26918428833878855
780.0,call,0.005,683.6300048828125,0.01643835616438356,0.3180195637263018
500.0,put,0.005,683.6300048828125,0.01643835616438356,
505.0,put,0.005,683.6300048828125,0.01643835616438356,
510.0,put,0.005,683.6300048828125,0.01643835616438356,
515.0,put,0.005,683.6300048828125,0.01643835616438356,
520.0,put,0.005,683.6300048828125,0.01643835616438356,
525.0,put,0.005,683.6300048828125,0.01643835616438356,
530.0,put,0.005,683.6300048828125,0.01643835616438356,
535.0,put,0.015,683.6300048828125,0.01643835616438356,
540.0,put,0.015,683.6300048828125,0.01643835616438356,
550.0,put,0.015,683.6300048828125,0.01643835616438356,
555.0,put,0.015,683.6300048828125,0.01643835616438356,
560.0,put,0.015,683.6300048828125,0.01643835616438356,
570.0,put,0.015,683.6300048828125,0.01643835616438356,
575.0,put,0.015,683.6300048828125,0.01643835616438356,
580.0,put,0.015,683.6300048828125,0.01643835616438356,0.4330143170432406
585.0,put,0.025,683.6300048828125,0.01643835616438356,0.43199833543086996
590.0,put,0.025,683.6300048828125,0.01643835616438356,0.4104749638753675
595.0,put,0.025,683.6300048828125,0.01643835616438356,0.38905045922453907
600.0,put,0.025,683.6300048828125,0.01643835616438356,0.3677170430470219
605.0,put,0.035,683.6300048828125,0.01643835616438356,0.35844877296979794
610.0,put,0.035,683.6300048828125,0.01643835616438356,0.33665688662337406
615.0,put,0.045,683.6300048828125,0.01643835616438356,0.32360822978203074
620.0,put,0.045,683.6300048828125,0.01643835616438356,0.30142969055015717
625.0,put,0.055,683.6300048828125,0.01643835616438356,0.2858253373721187
630.0,put,0.065,683.6300048828125,0.01643835616438356,0.26864529777231905
635.0,put,0.08499999999999999,683.6300048828125,0.01643835616438356,0.25430061474194154
640.0,put,0.10500000000000001,683.6300048828125,0.01643835616438356,0.23744773353198292
645.0,put,0.135,683.6300048828125,0.01643835616438356,0.22120679013427005
650.0,put,0.195,683.6300048828125,0.01643835616438356,0.20809154358449813
651.0,put,0.20500000000000002,683.6300048828125,0.01643835616438356,0.20454753498666872
652.0,put,0.225,683.6300048828125,0.01643835616438356,0.20248234164700868
653.0,put,0.245,683.6300048828125,0.01643835616438356,0.2001133324960065
654.0,put,0.265,683.6300048828125,0.01643835616438356,0.19747192994171628
655.0,put,0.28500000000000003,683.6300048828125,0.01643835616438356,0.19458308019757134
656.0,put,0.315,683.6300048828125,0.01643835616438356,0.1926819001997287
657.0,put,0.345,683.6300048828125,0.01643835616438356,0.1904191186978466
658.0,put,0.375,683.6300048828125,0.01643835616438356,0.18783293023349137
659.0,put,0.415,683.6300048828125,0.01643835616438356,0.1859323909782908
660.0,put,0.455,683.6300048828125,0.01643835616438356,0.1836392589071181
661.0,put,0.505,683.6300048828125,0.01643835616438356,0.18183948409203693
662.0,put,0.555,683.6300048828125,0.01643835616438356,0.1796107969879005
663.0,put,0.615,683.6300048828125,0.01643835616438356,0.17773037565833552
664.0,put,0.685,683.6300048828125,0.01643835616438356,0.17608908420272168
665.0,put,0.76,683.6300048828125,0.01643835616438356,0.1742784672198988
666.0,put,0.845,683.6300048828125,0.01643835616438356,0.17258273509245362
667.0,put,0.94,683.6300048828125,0.01643835616438356,0.17093484855629587
668.0,put,1.04,683.6300048828125,0.01643835616438356,0.16901989778599744
669.0,put,1.1549999999999998,683.6300048828125,0.01643835616438356,0.16732746489496436
670.0,put,1.28,683.6300048828125,0.01643835616438356,0.16554248406936958
671.0,put,1.42,683.6300048828125,0.01643835616438356,0.16384998040019258
672.0,put,1.57,683.6300048828125,0.01643835616438356,0.16198184296428794
673.0,put,1.7349999999999999,683.6300048828125,0.01643835616438356,0.16011174478139567
674.0,put,1.92,683.6300048828125,0.01643835616438356,0.15837753451649375
675.0,put,2.12,683.6300048828125,0.01643835616438356,0.15653463427720668
676.0,put,2.34,683.6300048828125,0.01643835616438356,0.1547186123133741
677.0,put,2.575,683.6300048828125,0.01643835616438356,0.15271381925934474
678.0,put,2.84,683.6300048828125,0.01643835616438356,0.1509667895114147
679.0,put,3.12,683.6300048828125,0.01643835616438356,0.14894391939678325
680.0,put,3.4299999999999997,683.6300048828125,0.01643835616438356,0.14706998495783077
681.0,put,3.7699999999999996,683.6300048828125,0.01643835616438356,0.14528788304345594
682.0,put,4.13,683.6300048828125,0.01643835616438356,0.1432592578240813
683.0,put,4.535,683.6300048828125,0.01643835616438356,0.14166691017510846
684.0,put,4.96,683.6300048828125,0.01643835616438356,0.13974900095649567
685.0,put,5.425000000000001,683.6300048828125,0.01643835616438356,0.13804484204826495
686.0,put,5.91,683.6300048828125,0.01643835616438356,0.135947531478847
687.0,put,6.495,683.6300048828125,0.01643835616438356,0.13577584087461583
688.0,put,7.07,683.6300048828125,0.01643835616438356,0.13432026827568141
689.0,put,7.705,683.6300048828125,0.01643835616438356,0.1336687929328194
690.0,put,8.335,683.6300048828125,0.01643835616438356,0.131804102866387
691.0,put,8.995000000000001,683.6300048828125,0.01643835616438356,0.12977061591901418
692.0,put,9.705,683.6300048828125,0.01643835616438356,0.1282894061560761
693.0,put,10.455,683.6300048828125,0.01643835616438356,0.127120354182843
694.0,put,11.3,683.6300048828125,0.01643835616438356,0.12874250169244333
695.0,put,12.1,683.6300048828125,0.01643835616438356,0.12749575185239548
696.0,put,12.91,683.6300048828125,0.01643835616438356,0.12541353157339788
698.0,put,14.695,683.6300048828125,0.01643835616438356,0.12664002020860288
700.0,put,16.585,683.6300048828125,0.01643835616438356,0.13166657405177304
703.0,put,19.575,683.6300048828125,0.01643835616438356,0.1487639675713226
704.0,put,20.575,683.6300048828125,0.01643835616438356,0.1545959833145146
705.0,put,21.575,683.6300048828125,0.01643835616438356,0.16037686488524266
706.0,put,22.575,683.6300048828125,0.01643835616438356,0.16610940467767712
709.0,put,25.59,683.6300048828125,0.01643835616438356,0.18440516051643752
710.0,put,26.59,683.6300048828125,0.01643835616438356,0.18999353839797503
720.0,put,36.59,683.6300048828125,0.01643835616438356,0.2439924378757948
